[09:30:32 INF] Usage: Total CPU 0.00% | App CPU 0.00% | App Heap 4.24MB
[09:35:13 INF] Usage: Total CPU 3.10% | App CPU 1.23% | App Heap 5.26MB
[09:35:14 INF] Usage: Total CPU 2.95% | App CPU 0.06% | App Heap 5.25MB
[09:35:15 INF] Usage: Total CPU 6.73% | App CPU 1.17% | App Heap 5.25MB
[09:35:16 INF] Usage: Total CPU 11.10% | App CPU 0.00% | App Heap 5.25MB
[09:35:17 INF] Usage: Total CPU 3.24% | App CPU 1.55% | App Heap 5.25MB
[09:35:18 INF] Usage: Total CPU 4.39% | App CPU 0.26% | App Heap 5.34MB
[09:35:19 INF] Usage: Total CPU 5.95% | App CPU 0.90% | App Heap 5.40MB
[09:35:20 INF] Usage: Total CPU 1.78% | App CPU 0.06% | App Heap 5.40MB
[09:35:21 INF] Usage: Total CPU 1.14% | App CPU 0.06% | App Heap 5.40MB
[09:35:22 INF] Usage: Total CPU 3.32% | App CPU 0.19% | App Heap 5.34MB
[09:35:23 INF] Usage: Total CPU 2.78% | App CPU 0.06% | App Heap 5.35MB
[09:35:24 INF] Usage: Total CPU 2.47% | App CPU 1.55% | App Heap 5.31MB
[09:35:25 INF] Usage: Total CPU 0.77% | App CPU 0.00% | App Heap 5.30MB
[09:35:26 INF] Usage: Total CPU 0.43% | App CPU 0.00% | App Heap 5.30MB
[09:35:27 INF] Usage: Total CPU 1.89% | App CPU 0.00% | App Heap 5.30MB
[09:35:28 INF] Usage: Total CPU 3.86% | App CPU 0.06% | App Heap 5.31MB
[09:35:29 INF] Usage: Total CPU 0.92% | App CPU 0.06% | App Heap 5.30MB
[09:35:30 INF] Usage: Total CPU 0.58% | App CPU 0.00% | App Heap 5.31MB
[10:51:35 INF] Usage: Total CPU 0.00% | App CPU 0.00% | App Heap 4.59MB
[10:51:36 INF] Usage: Total CPU 16.16% | App CPU 3.97% | App Heap 6.59MB
[10:51:37 INF] Usage: Total CPU 12.96% | App CPU 1.59% | App Heap 5.04MB
[10:51:38 INF] Usage: Total CPU 6.31% | App CPU 0.06% | App Heap 5.11MB
[10:51:39 INF] Usage: Total CPU 4.55% | App CPU 0.00% | App Heap 5.11MB
[10:51:40 INF] Usage: Total CPU 1.00% | App CPU 0.00% | App Heap 5.11MB
[10:51:41 INF] Usage: Total CPU 2.72% | App CPU 0.06% | App Heap 5.11MB
[10:51:42 INF] Usage: Total CPU 3.50% | App CPU 0.00% | App Heap 5.10MB
[10:51:43 INF] Usage: Total CPU 4.65% | App CPU 0.13% | App Heap 5.10MB
[10:51:44 INF] Usage: Total CPU 4.41% | App CPU 0.06% | App Heap 5.11MB
[10:51:45 INF] Usage: Total CPU 7.23% | App CPU 2.56% | App Heap 6.73MB
[10:51:46 INF] Usage: Total CPU 8.00% | App CPU 1.86% | App Heap 7.05MB
[10:51:47 INF] Usage: Total CPU 6.47% | App CPU 2.38% | App Heap 7.12MB
[10:51:48 INF] Usage: Total CPU 7.08% | App CPU 0.13% | App Heap 7.19MB
[10:51:49 INF] Usage: Total CPU 3.62% | App CPU 0.06% | App Heap 7.12MB
[10:51:50 INF] Usage: Total CPU 4.47% | App CPU 0.00% | App Heap 7.12MB
[10:51:51 INF] Usage: Total CPU 3.69% | App CPU 0.06% | App Heap 7.12MB
[10:51:52 INF] Usage: Total CPU 0.97% | App CPU 0.06% | App Heap 7.08MB
[10:51:53 INF] Usage: Total CPU 2.89% | App CPU 0.06% | App Heap 7.08MB
[10:51:54 INF] Usage: Total CPU 1.42% | App CPU 0.06% | App Heap 7.08MB
[10:51:55 INF] Usage: Total CPU 2.16% | App CPU 0.00% | App Heap 7.08MB
[10:51:56 INF] Usage: Total CPU 2.46% | App CPU 0.00% | App Heap 7.02MB
[10:51:57 INF] Usage: Total CPU 3.85% | App CPU 0.13% | App Heap 7.01MB
[10:51:58 INF] Usage: Total CPU 1.79% | App CPU 0.06% | App Heap 7.02MB
[10:51:59 INF] Usage: Total CPU 3.54% | App CPU 0.00% | App Heap 7.01MB
[10:52:00 INF] Usage: Total CPU 3.02% | App CPU 0.06% | App Heap 6.99MB
[10:52:01 INF] Usage: Total CPU 3.40% | App CPU 0.00% | App Heap 6.99MB
[10:52:02 INF] Usage: Total CPU 6.42% | App CPU 0.32% | App Heap 7.21MB
[10:52:03 INF] Usage: Total CPU 3.56% | App CPU 0.26% | App Heap 7.21MB
[10:52:04 INF] Usage: Total CPU 3.23% | App CPU 0.13% | App Heap 7.23MB
[10:52:05 INF] Usage: Total CPU 4.00% | App CPU 0.06% | App Heap 7.21MB
[10:52:06 INF] Usage: Total CPU 2.76% | App CPU 0.13% | App Heap 7.22MB
[10:52:07 INF] Usage: Total CPU 4.18% | App CPU 1.54% | App Heap 7.18MB
[10:52:08 INF] Usage: Total CPU 1.23% | App CPU 0.00% | App Heap 7.17MB
[10:52:09 INF] Usage: Total CPU 7.13% | App CPU 0.00% | App Heap 7.17MB
[10:52:10 INF] Usage: Total CPU 4.88% | App CPU 0.00% | App Heap 7.18MB
[10:52:11 INF] Usage: Total CPU 2.66% | App CPU 0.00% | App Heap 7.18MB
[10:52:12 INF] Usage: Total CPU 1.94% | App CPU 0.13% | App Heap 7.18MB
[10:52:13 INF] Usage: Total CPU 2.38% | App CPU 0.00% | App Heap 7.18MB
[10:52:14 INF] Usage: Total CPU 3.01% | App CPU 0.06% | App Heap 7.15MB
[10:52:15 INF] Usage: Total CPU 3.09% | App CPU 1.54% | App Heap 7.15MB
[10:52:16 INF] Usage: Total CPU 5.05% | App CPU 1.03% | App Heap 7.14MB
[10:52:17 INF] Usage: Total CPU 3.89% | App CPU 1.53% | App Heap 7.15MB
[10:52:18 INF] Usage: Total CPU 5.26% | App CPU 0.00% | App Heap 7.15MB
[11:03:50 INF] Usage: Total CPU 0.00% | App CPU 0.00% | App Heap 4.57MB
[11:03:51 INF] Usage: Total CPU 14.99% | App CPU 4.26% | App Heap 5.41MB
[11:03:52 INF] Usage: Total CPU 8.40% | App CPU 1.85% | App Heap 5.45MB
[11:03:53 INF] Usage: Total CPU 5.22% | App CPU 0.06% | App Heap 5.51MB
[11:03:54 INF] Usage: Total CPU 3.81% | App CPU 0.00% | App Heap 5.51MB
[11:03:55 INF] Usage: Total CPU 2.98% | App CPU 0.00% | App Heap 5.52MB
[11:03:56 INF] Usage: Total CPU 3.07% | App CPU 0.00% | App Heap 5.51MB
[11:03:57 INF] Usage: Total CPU 3.85% | App CPU 0.00% | App Heap 5.57MB
[11:03:58 INF] Usage: Total CPU 0.17% | App CPU 0.00% | App Heap 5.57MB
[11:08:07 INF] Usage: Total CPU 0.00% | App CPU 0.00% | App Heap 3.63MB
[11:08:08 INF] Usage: Total CPU 18.87% | App CPU 2.18% | App Heap 4.76MB
[11:08:10 INF] Usage: Total CPU 9.47% | App CPU 2.11% | App Heap 4.89MB
[11:08:11 INF] Usage: Total CPU 4.01% | App CPU 0.00% | App Heap 4.95MB
[11:08:12 INF] Usage: Total CPU 3.48% | App CPU 0.00% | App Heap 4.95MB
[11:08:13 INF] Usage: Total CPU 4.70% | App CPU 0.13% | App Heap 4.96MB
[11:08:14 INF] Usage: Total CPU 3.10% | App CPU 0.06% | App Heap 4.95MB
[11:08:15 INF] Usage: Total CPU 4.07% | App CPU 0.00% | App Heap 4.95MB
[11:08:36 INF] Usage: Total CPU 0.00% | App CPU 0.00% | App Heap 3.58MB
[11:08:37 INF] Usage: Total CPU 8.99% | App CPU 1.42% | App Heap 4.53MB
[11:08:38 INF] Usage: Total CPU 11.45% | App CPU 2.51% | App Heap 5.24MB
[11:08:39 INF] Usage: Total CPU 4.52% | App CPU 0.95% | App Heap 5.30MB
[11:08:40 INF] Usage: Total CPU 3.04% | App CPU 0.13% | App Heap 5.30MB
[11:08:41 INF] Usage: Total CPU 1.57% | App CPU 0.00% | App Heap 5.30MB
[11:08:42 INF] Usage: Total CPU 2.61% | App CPU 0.06% | App Heap 5.30MB
[11:08:43 INF] Usage: Total CPU 6.84% | App CPU 0.00% | App Heap 5.30MB
[11:08:44 INF] Usage: Total CPU 5.56% | App CPU 0.00% | App Heap 5.29MB
[11:08:45 INF] Usage: Total CPU 11.86% | App CPU 3.48% | App Heap 7.24MB
[11:08:46 INF] Usage: Total CPU 3.82% | App CPU 1.00% | App Heap 7.37MB
[11:08:47 INF] Usage: Total CPU 4.25% | App CPU 0.06% | App Heap 7.30MB
[11:09:09 INF] Usage: Total CPU 0.00% | App CPU 0.00% | App Heap 3.57MB
[11:09:10 INF] Usage: Total CPU 15.84% | App CPU 4.18% | App Heap 5.29MB
[11:09:11 INF] Usage: Total CPU 4.51% | App CPU 2.77% | App Heap 5.36MB
[11:09:12 INF] Usage: Total CPU 1.97% | App CPU 0.06% | App Heap 5.36MB
[11:09:13 INF] Usage: Total CPU 1.84% | App CPU 0.00% | App Heap 5.36MB
[11:09:14 INF] Usage: Total CPU 2.74% | App CPU 0.00% | App Heap 5.36MB
[11:09:15 INF] Usage: Total CPU 0.99% | App CPU 0.00% | App Heap 5.35MB
[11:09:16 INF] Usage: Total CPU 3.24% | App CPU 0.06% | App Heap 5.35MB
[11:09:17 INF] Usage: Total CPU 2.61% | App CPU 0.00% | App Heap 5.35MB
[11:09:18 INF] Usage: Total CPU 3.31% | App CPU 0.06% | App Heap 5.35MB
[11:09:19 INF] Usage: Total CPU 6.87% | App CPU 0.06% | App Heap 5.36MB
[11:09:20 INF] Usage: Total CPU 4.53% | App CPU 0.06% | App Heap 5.35MB
[11:09:21 INF] Usage: Total CPU 7.09% | App CPU 0.00% | App Heap 5.35MB
[11:09:23 INF] Usage: Total CPU 8.16% | App CPU 0.00% | App Heap 5.35MB
[11:09:24 INF] Usage: Total CPU 6.29% | App CPU 0.00% | App Heap 5.32MB
[11:09:25 INF] Usage: Total CPU 5.09% | App CPU 0.00% | App Heap 5.32MB
[11:09:26 INF] Usage: Total CPU 5.49% | App CPU 0.00% | App Heap 5.33MB
[11:09:27 INF] Usage: Total CPU 6.98% | App CPU 2.30% | App Heap 6.21MB
[11:09:28 INF] Usage: Total CPU 6.93% | App CPU 4.74% | App Heap 7.20MB
[11:09:29 INF] Usage: Total CPU 7.73% | App CPU 1.97% | App Heap 7.30MB
[11:09:30 INF] Usage: Total CPU 1.85% | App CPU 0.00% | App Heap 7.30MB
[11:09:31 INF] Usage: Total CPU 3.10% | App CPU 0.13% | App Heap 7.30MB
[11:09:32 INF] Usage: Total CPU 9.88% | App CPU 0.00% | App Heap 7.30MB
[11:09:33 INF] Usage: Total CPU 3.18% | App CPU 0.00% | App Heap 7.26MB
[11:09:34 INF] Usage: Total CPU 3.19% | App CPU 0.00% | App Heap 7.26MB
[11:09:35 INF] Usage: Total CPU 1.50% | App CPU 0.00% | App Heap 7.27MB
[11:09:36 INF] Usage: Total CPU 2.54% | App CPU 0.45% | App Heap 7.27MB
[11:09:37 INF] Usage: Total CPU 4.26% | App CPU 0.06% | App Heap 7.26MB
[11:09:38 INF] Usage: Total CPU 4.18% | App CPU 0.13% | App Heap 7.19MB
[11:09:39 INF] Usage: Total CPU 3.64% | App CPU 0.00% | App Heap 7.23MB
[11:09:40 INF] Usage: Total CPU 3.75% | App CPU 0.06% | App Heap 7.23MB
[11:09:41 INF] Usage: Total CPU 4.90% | App CPU 0.13% | App Heap 7.24MB
[11:09:42 INF] Usage: Total CPU 7.71% | App CPU 0.00% | App Heap 7.23MB
[11:09:43 INF] Usage: Total CPU 5.33% | App CPU 0.00% | App Heap 7.23MB
[11:09:44 INF] Usage: Total CPU 1.32% | App CPU 0.00% | App Heap 7.23MB
[11:09:45 INF] Usage: Total CPU 4.27% | App CPU 0.00% | App Heap 7.23MB
[11:09:46 INF] Usage: Total CPU 0.21% | App CPU 0.00% | App Heap 7.23MB
[11:09:47 INF] Usage: Total CPU 2.07% | App CPU 0.00% | App Heap 7.23MB
[11:09:48 INF] Usage: Total CPU 1.89% | App CPU 0.00% | App Heap 7.23MB
[11:09:49 INF] Usage: Total CPU 1.80% | App CPU 0.00% | App Heap 7.23MB
[11:09:50 INF] Usage: Total CPU 2.08% | App CPU 0.00% | App Heap 7.23MB
[11:09:51 INF] Usage: Total CPU 0.82% | App CPU 0.19% | App Heap 7.23MB
[11:09:52 INF] Usage: Total CPU 1.65% | App CPU 0.00% | App Heap 7.23MB
[11:09:53 INF] Usage: Total CPU 3.33% | App CPU 0.00% | App Heap 7.23MB
[11:09:54 INF] Usage: Total CPU 4.02% | App CPU 0.00% | App Heap 7.23MB
[11:09:55 INF] Usage: Total CPU 1.07% | App CPU 0.00% | App Heap 7.23MB
[11:09:56 INF] Usage: Total CPU 1.04% | App CPU 0.00% | App Heap 7.23MB
[11:09:57 INF] Usage: Total CPU 1.43% | App CPU 0.00% | App Heap 7.23MB
[11:09:58 INF] Usage: Total CPU 1.86% | App CPU 0.00% | App Heap 7.23MB
[11:09:59 INF] Usage: Total CPU 3.35% | App CPU 0.06% | App Heap 7.23MB
[11:10:00 INF] Usage: Total CPU 2.33% | App CPU 0.06% | App Heap 7.23MB
[11:10:01 INF] Usage: Total CPU 2.50% | App CPU 1.55% | App Heap 7.23MB
[11:10:02 INF] Usage: Total CPU 4.02% | App CPU 0.00% | App Heap 7.23MB
[11:10:03 INF] Usage: Total CPU 7.93% | App CPU 0.06% | App Heap 7.24MB
[11:10:04 INF] Usage: Total CPU 1.53% | App CPU 0.00% | App Heap 7.24MB
[11:10:05 INF] Usage: Total CPU 1.83% | App CPU 0.00% | App Heap 7.23MB
[11:10:06 INF] Usage: Total CPU 3.14% | App CPU 1.03% | App Heap 7.23MB
[11:10:07 INF] Usage: Total CPU 2.66% | App CPU 0.06% | App Heap 7.23MB
[11:10:08 INF] Usage: Total CPU 3.25% | App CPU 1.41% | App Heap 7.23MB
[11:10:09 INF] Usage: Total CPU 1.42% | App CPU 0.06% | App Heap 7.23MB
[11:10:10 INF] Usage: Total CPU 0.50% | App CPU 0.06% | App Heap 7.22MB
[11:10:11 INF] Usage: Total CPU 6.65% | App CPU 0.19% | App Heap 7.22MB
[11:10:12 INF] Usage: Total CPU 6.38% | App CPU 0.00% | App Heap 7.22MB
[11:10:13 INF] Usage: Total CPU 4.28% | App CPU 0.00% | App Heap 7.23MB
[11:10:14 INF] Usage: Total CPU 1.76% | App CPU 0.00% | App Heap 7.23MB
[11:10:15 INF] Usage: Total CPU 0.31% | App CPU 0.00% | App Heap 7.22MB
[11:10:16 INF] Usage: Total CPU 2.27% | App CPU 0.00% | App Heap 7.22MB
[11:10:17 INF] Usage: Total CPU 0.56% | App CPU 0.00% | App Heap 7.23MB
[11:10:18 INF] Usage: Total CPU 2.68% | App CPU 0.00% | App Heap 7.22MB
[11:10:19 INF] Usage: Total CPU 1.50% | App CPU 0.00% | App Heap 7.22MB
[11:10:20 INF] Usage: Total CPU 5.13% | App CPU 0.00% | App Heap 7.22MB
[11:10:21 INF] Usage: Total CPU 5.86% | App CPU 0.13% | App Heap 7.22MB
[11:10:22 INF] Usage: Total CPU 3.13% | App CPU 1.29% | App Heap 7.22MB
[11:10:23 INF] Usage: Total CPU 0.79% | App CPU 0.00% | App Heap 7.22MB
[11:10:24 INF] Usage: Total CPU 4.03% | App CPU 0.00% | App Heap 7.17MB
[11:10:25 INF] Usage: Total CPU 1.09% | App CPU 0.00% | App Heap 7.17MB
[11:10:26 INF] Usage: Total CPU 2.81% | App CPU 0.00% | App Heap 7.17MB
[11:10:27 INF] Usage: Total CPU 3.12% | App CPU 0.00% | App Heap 7.18MB
[11:10:28 INF] Usage: Total CPU 5.97% | App CPU 0.00% | App Heap 7.18MB
[11:10:29 INF] Usage: Total CPU 12.26% | App CPU 1.42% | App Heap 7.18MB
[11:10:30 INF] Usage: Total CPU 5.24% | App CPU 0.00% | App Heap 7.18MB
[11:10:31 INF] Usage: Total CPU 4.81% | App CPU 0.00% | App Heap 7.18MB
[11:10:32 INF] Usage: Total CPU 7.72% | App CPU 0.00% | App Heap 7.18MB
[11:10:33 INF] Usage: Total CPU 9.09% | App CPU 0.00% | App Heap 7.18MB
[11:10:34 INF] Usage: Total CPU 5.67% | App CPU 0.00% | App Heap 7.18MB
[11:10:35 INF] Usage: Total CPU 5.34% | App CPU 0.00% | App Heap 7.18MB
[11:10:36 INF] Usage: Total CPU 7.98% | App CPU 0.00% | App Heap 7.18MB
[11:10:37 INF] Usage: Total CPU 6.82% | App CPU 0.00% | App Heap 7.18MB
[11:10:38 INF] Usage: Total CPU 8.18% | App CPU 0.00% | App Heap 7.16MB
[11:10:39 INF] Usage: Total CPU 8.00% | App CPU 0.00% | App Heap 7.16MB
[11:10:40 INF] Usage: Total CPU 3.43% | App CPU 0.00% | App Heap 7.16MB
[11:10:41 INF] Usage: Total CPU 6.32% | App CPU 0.00% | App Heap 7.16MB
[11:10:42 INF] Usage: Total CPU 4.28% | App CPU 0.00% | App Heap 7.17MB
[11:10:44 INF] Usage: Total CPU 0.91% | App CPU 0.00% | App Heap 7.17MB
[11:10:45 INF] Usage: Total CPU 1.66% | App CPU 0.00% | App Heap 7.17MB
[11:10:46 INF] Usage: Total CPU 1.83% | App CPU 0.00% | App Heap 7.16MB
[11:10:47 INF] Usage: Total CPU 2.57% | App CPU 0.00% | App Heap 7.16MB
[11:10:48 INF] Usage: Total CPU 2.01% | App CPU 0.00% | App Heap 7.16MB
[11:10:49 INF] Usage: Total CPU 2.70% | App CPU 0.00% | App Heap 7.16MB
[11:10:50 INF] Usage: Total CPU 1.56% | App CPU 0.00% | App Heap 7.17MB
[11:10:51 INF] Usage: Total CPU 0.27% | App CPU 0.00% | App Heap 7.16MB
[11:10:52 INF] Usage: Total CPU 2.51% | App CPU 0.06% | App Heap 7.16MB
[11:10:53 INF] Usage: Total CPU 0.89% | App CPU 0.00% | App Heap 7.16MB
[11:10:54 INF] Usage: Total CPU 1.37% | App CPU 0.00% | App Heap 7.17MB
[11:10:55 INF] Usage: Total CPU 3.14% | App CPU 0.00% | App Heap 7.16MB
[11:10:56 INF] Usage: Total CPU 7.72% | App CPU 0.00% | App Heap 7.16MB
[11:10:57 INF] Usage: Total CPU 4.12% | App CPU 1.23% | App Heap 7.17MB
[11:10:58 INF] Usage: Total CPU 1.00% | App CPU 0.00% | App Heap 7.17MB
[11:10:59 INF] Usage: Total CPU 1.28% | App CPU 0.00% | App Heap 7.16MB
[11:11:00 INF] Usage: Total CPU 1.12% | App CPU 0.00% | App Heap 7.16MB
[11:11:01 INF] Usage: Total CPU 5.00% | App CPU 0.00% | App Heap 7.16MB
[11:11:02 INF] Usage: Total CPU 2.53% | App CPU 1.54% | App Heap 7.16MB
[11:11:03 INF] Usage: Total CPU 1.72% | App CPU 0.00% | App Heap 7.16MB
[11:11:04 INF] Usage: Total CPU 0.70% | App CPU 0.00% | App Heap 7.17MB
[11:11:05 INF] Usage: Total CPU 1.97% | App CPU 0.00% | App Heap 7.16MB
[11:11:06 INF] Usage: Total CPU 3.55% | App CPU 0.13% | App Heap 7.16MB
[11:11:07 INF] Usage: Total CPU 2.65% | App CPU 0.00% | App Heap 7.17MB
[11:11:08 INF] Usage: Total CPU 1.78% | App CPU 0.00% | App Heap 7.17MB
[11:11:09 INF] Usage: Total CPU 0.24% | App CPU 0.00% | App Heap 7.17MB
[11:11:10 INF] Usage: Total CPU 1.10% | App CPU 0.00% | App Heap 7.16MB
[11:11:11 INF] Usage: Total CPU 2.93% | App CPU 0.00% | App Heap 7.16MB
[11:11:12 INF] Usage: Total CPU 3.19% | App CPU 0.00% | App Heap 7.17MB
[11:11:13 INF] Usage: Total CPU 0.82% | App CPU 0.00% | App Heap 7.17MB
[11:11:14 INF] Usage: Total CPU 1.68% | App CPU 0.00% | App Heap 7.16MB
[11:11:15 INF] Usage: Total CPU 1.74% | App CPU 0.06% | App Heap 7.16MB
[11:11:16 INF] Usage: Total CPU 1.41% | App CPU 0.00% | App Heap 7.16MB
[11:11:17 INF] Usage: Total CPU 1.78% | App CPU 0.00% | App Heap 7.17MB
[11:11:18 INF] Usage: Total CPU 3.33% | App CPU 0.00% | App Heap 7.17MB
[11:11:19 INF] Usage: Total CPU 1.48% | App CPU 0.00% | App Heap 7.17MB
[11:11:20 INF] Usage: Total CPU 1.45% | App CPU 0.00% | App Heap 7.16MB
[11:11:21 INF] Usage: Total CPU 5.70% | App CPU 0.00% | App Heap 7.16MB
[11:11:22 INF] Usage: Total CPU 1.38% | App CPU 0.00% | App Heap 7.16MB
[11:11:23 INF] Usage: Total CPU 1.49% | App CPU 0.00% | App Heap 7.17MB
[11:11:24 INF] Usage: Total CPU 3.96% | App CPU 0.00% | App Heap 7.16MB
[11:11:25 INF] Usage: Total CPU 4.84% | App CPU 1.54% | App Heap 7.17MB
[11:11:26 INF] Usage: Total CPU 0.65% | App CPU 0.00% | App Heap 7.16MB
[11:11:27 INF] Usage: Total CPU 1.28% | App CPU 0.00% | App Heap 7.17MB
[11:11:28 INF] Usage: Total CPU 0.14% | App CPU 0.00% | App Heap 7.16MB
[11:11:29 INF] Usage: Total CPU 3.02% | App CPU 0.00% | App Heap 7.16MB
[11:11:30 INF] Usage: Total CPU 1.49% | App CPU 1.55% | App Heap 7.17MB
[11:11:31 INF] Usage: Total CPU 2.29% | App CPU 0.00% | App Heap 7.17MB
[11:11:32 INF] Usage: Total CPU 1.24% | App CPU 0.00% | App Heap 7.17MB
[11:11:33 INF] Usage: Total CPU 1.66% | App CPU 0.00% | App Heap 7.10MB
[11:11:34 INF] Usage: Total CPU 7.53% | App CPU 1.54% | App Heap 7.17MB
[11:11:35 INF] Usage: Total CPU 4.70% | App CPU 1.54% | App Heap 7.17MB
[11:11:36 INF] Usage: Total CPU 3.47% | App CPU 0.00% | App Heap 7.17MB
[11:11:37 INF] Usage: Total CPU 3.65% | App CPU 1.54% | App Heap 7.17MB
[11:11:38 INF] Usage: Total CPU 2.26% | App CPU 0.00% | App Heap 7.17MB
[11:11:39 INF] Usage: Total CPU 1.36% | App CPU 0.00% | App Heap 7.17MB
[11:11:40 INF] Usage: Total CPU 2.97% | App CPU 0.00% | App Heap 7.17MB
[11:11:41 INF] Usage: Total CPU 4.91% | App CPU 0.00% | App Heap 7.17MB
[11:11:42 INF] Usage: Total CPU 3.34% | App CPU 0.00% | App Heap 7.17MB
[11:11:43 INF] Usage: Total CPU 1.04% | App CPU 0.00% | App Heap 7.17MB
