[09:26:12 INF] Usage: Total CPU 0.00% | App CPU 0.00% | App Heap 3.59MB
[09:28:16 INF] Usage: Total CPU 1.21% | App CPU 0.00% | App Heap 5.24MB
[09:28:17 INF] Usage: Total CPU 2.63% | App CPU 0.00% | App Heap 5.25MB
[09:28:18 INF] Usage: Total CPU 4.76% | App CPU 0.06% | App Heap 5.24MB
[09:28:19 INF] Usage: Total CPU 2.84% | App CPU 0.00% | App Heap 5.24MB
[09:28:20 INF] Usage: Total CPU 1.87% | App CPU 0.00% | App Heap 5.24MB
[09:28:21 INF] Usage: Total CPU 3.98% | App CPU 0.00% | App Heap 5.24MB
[09:28:22 INF] Usage: Total CPU 2.87% | App CPU 0.00% | App Heap 5.25MB
[09:28:23 INF] Usage: Total CPU 3.96% | App CPU 1.54% | App Heap 5.24MB
[09:28:24 INF] Usage: Total CPU 3.42% | App CPU 1.55% | App Heap 5.24MB
[09:28:25 INF] Usage: Total CPU 2.45% | App CPU 0.00% | App Heap 5.24MB
[09:28:26 INF] Usage: Total CPU 2.13% | App CPU 0.00% | App Heap 5.24MB
[09:28:27 INF] Usage: Total CPU 1.92% | App CPU 0.00% | App Heap 5.24MB
[09:28:28 INF] Usage: Total CPU 4.29% | App CPU 0.19% | App Heap 5.25MB
[09:28:29 INF] Usage: Total CPU 3.00% | App CPU 0.00% | App Heap 5.25MB
[09:28:30 INF] Usage: Total CPU 3.16% | App CPU 0.13% | App Heap 5.24MB
[09:28:31 INF] Usage: Total CPU 5.19% | App CPU 1.61% | App Heap 5.24MB
[09:28:32 INF] Usage: Total CPU 1.64% | App CPU 0.00% | App Heap 5.25MB
[09:28:33 INF] Usage: Total CPU 2.76% | App CPU 0.00% | App Heap 5.24MB
[09:28:34 INF] Usage: Total CPU 3.78% | App CPU 0.06% | App Heap 5.24MB
[09:28:35 INF] Usage: Total CPU 4.50% | App CPU 0.00% | App Heap 5.25MB
[09:28:36 INF] Usage: Total CPU 7.64% | App CPU 0.00% | App Heap 5.24MB
[09:28:37 INF] Usage: Total CPU 7.56% | App CPU 1.42% | App Heap 5.25MB
[09:28:38 INF] Usage: Total CPU 6.15% | App CPU 0.00% | App Heap 5.24MB
[09:28:39 INF] Usage: Total CPU 9.52% | App CPU 1.03% | App Heap 5.24MB
[09:28:40 INF] Usage: Total CPU 7.33% | App CPU 1.55% | App Heap 5.25MB
[09:28:41 INF] Usage: Total CPU 5.34% | App CPU 0.00% | App Heap 5.24MB
[09:28:42 INF] Usage: Total CPU 7.26% | App CPU 0.00% | App Heap 5.25MB
[09:28:43 INF] Usage: Total CPU 9.18% | App CPU 1.03% | App Heap 5.24MB
[09:28:44 INF] Usage: Total CPU 4.32% | App CPU 0.06% | App Heap 5.24MB
[09:28:45 INF] Usage: Total CPU 6.94% | App CPU 0.00% | App Heap 5.24MB
[09:28:46 INF] Usage: Total CPU 6.00% | App CPU 0.00% | App Heap 5.24MB
[09:28:47 INF] Usage: Total CPU 6.87% | App CPU 0.00% | App Heap 5.24MB
[09:28:48 INF] Usage: Total CPU 5.47% | App CPU 0.00% | App Heap 5.24MB
[09:28:49 INF] Usage: Total CPU 6.03% | App CPU 0.00% | App Heap 5.24MB
[09:28:50 INF] Usage: Total CPU 4.71% | App CPU 0.00% | App Heap 5.24MB
[09:28:51 INF] Usage: Total CPU 6.32% | App CPU 0.00% | App Heap 5.24MB
[09:28:52 INF] Usage: Total CPU 6.73% | App CPU 0.00% | App Heap 5.25MB
[09:28:53 INF] Usage: Total CPU 6.96% | App CPU 0.00% | App Heap 5.24MB
[09:28:54 INF] Usage: Total CPU 3.16% | App CPU 0.00% | App Heap 5.24MB
[09:28:55 INF] Usage: Total CPU 5.81% | App CPU 0.00% | App Heap 5.24MB
[09:28:56 INF] Usage: Total CPU 5.83% | App CPU 0.00% | App Heap 5.24MB
[09:28:57 INF] Usage: Total CPU 3.17% | App CPU 0.00% | App Heap 5.25MB
[09:28:58 INF] Usage: Total CPU 2.56% | App CPU 0.00% | App Heap 5.24MB
[09:28:59 INF] Usage: Total CPU 4.05% | App CPU 0.00% | App Heap 5.25MB
[09:29:00 INF] Usage: Total CPU 1.69% | App CPU 0.06% | App Heap 5.25MB
[09:29:01 INF] Usage: Total CPU 1.56% | App CPU 0.00% | App Heap 5.24MB
[09:29:02 INF] Usage: Total CPU 1.23% | App CPU 0.00% | App Heap 5.24MB
[09:29:03 INF] Usage: Total CPU 2.77% | App CPU 0.00% | App Heap 5.24MB
[09:29:04 INF] Usage: Total CPU 4.02% | App CPU 1.54% | App Heap 5.25MB
[09:29:05 INF] Usage: Total CPU 3.02% | App CPU 0.00% | App Heap 5.25MB
[09:29:06 INF] Usage: Total CPU 1.80% | App CPU 0.00% | App Heap 5.25MB
[09:29:07 INF] Usage: Total CPU 3.99% | App CPU 0.00% | App Heap 5.24MB
[09:29:08 INF] Usage: Total CPU 1.98% | App CPU 0.00% | App Heap 5.24MB
[09:29:09 INF] Usage: Total CPU 3.24% | App CPU 0.00% | App Heap 5.24MB
[09:29:10 INF] Usage: Total CPU 4.07% | App CPU 1.55% | App Heap 5.25MB
[09:29:11 INF] Usage: Total CPU 0.96% | App CPU 0.00% | App Heap 5.25MB
[09:29:12 INF] Usage: Total CPU 3.70% | App CPU 0.00% | App Heap 5.24MB
[09:29:13 INF] Usage: Total CPU 1.29% | App CPU 0.00% | App Heap 5.25MB
[09:29:14 INF] Usage: Total CPU 1.64% | App CPU 0.00% | App Heap 5.24MB
[09:29:15 INF] Usage: Total CPU 2.95% | App CPU 0.00% | App Heap 5.24MB
[09:29:16 INF] Usage: Total CPU 1.29% | App CPU 0.00% | App Heap 5.24MB
[09:29:17 INF] Usage: Total CPU 0.00% | App CPU 0.00% | App Heap 5.24MB
[09:29:18 INF] Usage: Total CPU 3.28% | App CPU 0.00% | App Heap 5.25MB
[09:29:19 INF] Usage: Total CPU 2.05% | App CPU 0.00% | App Heap 5.24MB
[09:29:20 INF] Usage: Total CPU 6.80% | App CPU 0.00% | App Heap 5.24MB
[09:29:21 INF] Usage: Total CPU 5.22% | App CPU 0.00% | App Heap 5.24MB
[09:29:22 INF] Usage: Total CPU 2.03% | App CPU 0.00% | App Heap 5.24MB
[09:29:23 INF] Usage: Total CPU 1.87% | App CPU 0.00% | App Heap 5.24MB
[09:29:24 INF] Usage: Total CPU 1.98% | App CPU 0.13% | App Heap 5.25MB
[09:29:25 INF] Usage: Total CPU 2.01% | App CPU 0.00% | App Heap 5.25MB
[09:29:26 INF] Usage: Total CPU 2.67% | App CPU 1.03% | App Heap 5.25MB
[09:29:27 INF] Usage: Total CPU 1.24% | App CPU 0.00% | App Heap 5.25MB
[09:29:28 INF] Usage: Total CPU 0.78% | App CPU 0.00% | App Heap 5.25MB
[09:29:30 INF] Usage: Total CPU 0.46% | App CPU 0.00% | App Heap 5.25MB
[09:29:31 INF] Usage: Total CPU 2.36% | App CPU 0.00% | App Heap 5.25MB
[09:29:32 INF] Usage: Total CPU 0.61% | App CPU 0.00% | App Heap 5.25MB
[09:29:33 INF] Usage: Total CPU 2.27% | App CPU 0.00% | App Heap 5.25MB
[09:29:34 INF] Usage: Total CPU 0.36% | App CPU 0.00% | App Heap 5.25MB
[09:29:35 INF] Usage: Total CPU 2.21% | App CPU 0.00% | App Heap 5.25MB
[09:29:36 INF] Usage: Total CPU 1.17% | App CPU 0.00% | App Heap 5.25MB
[09:29:37 INF] Usage: Total CPU 2.76% | App CPU 1.55% | App Heap 5.25MB
[09:29:38 INF] Usage: Total CPU 2.01% | App CPU 0.00% | App Heap 5.25MB
[09:29:39 INF] Usage: Total CPU 1.02% | App CPU 0.00% | App Heap 5.25MB
[09:29:40 INF] Usage: Total CPU 1.64% | App CPU 0.00% | App Heap 5.25MB
[09:29:41 INF] Usage: Total CPU 0.79% | App CPU 0.00% | App Heap 5.25MB
[09:29:42 INF] Usage: Total CPU 0.87% | App CPU 0.00% | App Heap 5.25MB
[09:29:43 INF] Usage: Total CPU 3.36% | App CPU 0.00% | App Heap 5.25MB
[09:29:44 INF] Usage: Total CPU 0.52% | App CPU 0.00% | App Heap 5.25MB
[09:29:45 INF] Usage: Total CPU 1.19% | App CPU 0.00% | App Heap 5.25MB
[09:29:46 INF] Usage: Total CPU 3.54% | App CPU 0.00% | App Heap 5.25MB
[09:29:47 INF] Usage: Total CPU 2.68% | App CPU 0.00% | App Heap 5.25MB
[09:29:48 INF] Usage: Total CPU 0.98% | App CPU 0.06% | App Heap 5.25MB
[09:29:49 INF] Usage: Total CPU 0.87% | App CPU 0.00% | App Heap 5.26MB
[09:29:50 INF] Usage: Total CPU 2.23% | App CPU 0.00% | App Heap 5.25MB
[09:29:51 INF] Usage: Total CPU 0.75% | App CPU 0.00% | App Heap 5.26MB
[09:29:52 INF] Usage: Total CPU 2.95% | App CPU 0.00% | App Heap 5.25MB
[09:29:53 INF] Usage: Total CPU 2.76% | App CPU 1.48% | App Heap 5.25MB
[09:29:54 INF] Usage: Total CPU 1.49% | App CPU 0.00% | App Heap 5.25MB
[09:29:55 INF] Usage: Total CPU 5.66% | App CPU 0.00% | App Heap 5.25MB
[09:29:56 INF] Usage: Total CPU 5.45% | App CPU 0.00% | App Heap 5.26MB
[09:29:57 INF] Usage: Total CPU 4.64% | App CPU 0.00% | App Heap 5.25MB
[09:29:58 INF] Usage: Total CPU 0.17% | App CPU 0.00% | App Heap 5.25MB
[09:29:59 INF] Usage: Total CPU 3.05% | App CPU 0.00% | App Heap 5.25MB
[09:30:00 INF] Usage: Total CPU 5.96% | App CPU 0.00% | App Heap 5.25MB
[09:30:01 INF] Usage: Total CPU 2.29% | App CPU 0.00% | App Heap 5.25MB
[09:30:02 INF] Usage: Total CPU 2.19% | App CPU 0.00% | App Heap 5.25MB
[09:30:03 INF] Usage: Total CPU 1.51% | App CPU 1.55% | App Heap 5.25MB
[09:30:04 INF] Usage: Total CPU 2.40% | App CPU 0.00% | App Heap 5.25MB
[09:30:05 INF] Usage: Total CPU 3.08% | App CPU 1.48% | App Heap 5.25MB
[09:30:06 INF] Usage: Total CPU 5.99% | App CPU 0.00% | App Heap 5.25MB
[09:30:07 INF] Usage: Total CPU 6.89% | App CPU 1.60% | App Heap 5.19MB
[09:30:08 INF] Usage: Total CPU 2.96% | App CPU 0.00% | App Heap 5.25MB
[09:30:09 INF] Usage: Total CPU 0.39% | App CPU 0.00% | App Heap 5.25MB
[09:30:10 INF] Usage: Total CPU 1.74% | App CPU 0.00% | App Heap 5.25MB
[09:30:11 INF] Usage: Total CPU 0.77% | App CPU 0.00% | App Heap 5.25MB
[09:30:12 INF] Usage: Total CPU 3.61% | App CPU 0.00% | App Heap 5.25MB
[09:30:13 INF] Usage: Total CPU 0.94% | App CPU 1.15% | App Heap 5.25MB
[09:30:14 INF] Usage: Total CPU 2.89% | App CPU 0.00% | App Heap 5.25MB
[09:30:15 INF] Usage: Total CPU 0.85% | App CPU 0.00% | App Heap 5.25MB
[09:30:16 INF] Usage: Total CPU 0.35% | App CPU 0.00% | App Heap 5.26MB
[09:30:17 INF] Usage: Total CPU 4.47% | App CPU 0.00% | App Heap 5.26MB
[09:30:18 INF] Usage: Total CPU 2.83% | App CPU 1.54% | App Heap 5.26MB
[09:30:19 INF] Usage: Total CPU 1.34% | App CPU 0.00% | App Heap 5.26MB
[09:30:20 INF] Usage: Total CPU 1.52% | App CPU 0.00% | App Heap 5.26MB
[09:30:21 INF] Usage: Total CPU 2.18% | App CPU 0.00% | App Heap 5.26MB
[09:30:22 INF] Usage: Total CPU 2.82% | App CPU 0.84% | App Heap 5.26MB
[09:30:23 INF] Usage: Total CPU 1.01% | App CPU 0.00% | App Heap 5.26MB
[09:30:24 INF] Usage: Total CPU 2.36% | App CPU 0.00% | App Heap 5.26MB
[09:30:25 INF] Usage: Total CPU 2.32% | App CPU 0.00% | App Heap 5.26MB
[09:30:26 INF] Usage: Total CPU 6.27% | App CPU 1.54% | App Heap 5.26MB
[09:30:27 INF] Usage: Total CPU 1.44% | App CPU 1.16% | App Heap 5.26MB
[09:30:28 INF] Usage: Total CPU 0.52% | App CPU 0.00% | App Heap 5.26MB
[09:30:29 INF] Usage: Total CPU 2.69% | App CPU 0.00% | App Heap 5.26MB
[09:30:30 INF] Usage: Total CPU 0.94% | App CPU 0.00% | App Heap 5.26MB
[09:30:31 INF] Usage: Total CPU 1.17% | App CPU 0.00% | App Heap 5.26MB
[09:30:32 INF] Usage: Total CPU 1.10% | App CPU 0.00% | App Heap 5.26MB
[09:30:33 INF] Usage: Total CPU 1.67% | App CPU 0.00% | App Heap 5.26MB
[09:30:34 INF] Usage: Total CPU 1.71% | App CPU 0.00% | App Heap 5.27MB
[09:30:35 INF] Usage: Total CPU 1.81% | App CPU 0.06% | App Heap 5.27MB
[09:30:36 INF] Usage: Total CPU 0.09% | App CPU 0.00% | App Heap 5.27MB
[09:30:37 INF] Usage: Total CPU 1.89% | App CPU 0.00% | App Heap 5.26MB
[09:30:38 INF] Usage: Total CPU 1.86% | App CPU 0.00% | App Heap 5.27MB
[09:30:39 INF] Usage: Total CPU 3.27% | App CPU 0.13% | App Heap 5.27MB
[09:30:40 INF] Usage: Total CPU 2.11% | App CPU 1.60% | App Heap 5.27MB
[09:30:41 INF] Usage: Total CPU 1.66% | App CPU 0.00% | App Heap 5.26MB
[09:30:42 INF] Usage: Total CPU 0.83% | App CPU 0.00% | App Heap 5.27MB
[09:30:43 INF] Usage: Total CPU 1.66% | App CPU 0.00% | App Heap 5.27MB
[09:30:44 INF] Usage: Total CPU 0.80% | App CPU 0.00% | App Heap 5.27MB
[09:30:45 INF] Usage: Total CPU 1.53% | App CPU 0.00% | App Heap 5.26MB
[09:30:46 INF] Usage: Total CPU 3.81% | App CPU 0.00% | App Heap 5.26MB
[09:30:47 INF] Usage: Total CPU 1.64% | App CPU 0.00% | App Heap 5.27MB
[09:30:48 INF] Usage: Total CPU 1.48% | App CPU 0.00% | App Heap 5.26MB
[09:30:49 INF] Usage: Total CPU 2.03% | App CPU 1.55% | App Heap 5.26MB
[09:30:50 INF] Usage: Total CPU 3.91% | App CPU 0.00% | App Heap 5.27MB
[09:30:51 INF] Usage: Total CPU 0.62% | App CPU 0.00% | App Heap 5.26MB
[09:30:52 INF] Usage: Total CPU 2.74% | App CPU 0.00% | App Heap 5.27MB
[09:30:53 INF] Usage: Total CPU 2.28% | App CPU 0.00% | App Heap 5.26MB
[09:30:55 INF] Usage: Total CPU 2.02% | App CPU 0.00% | App Heap 5.26MB
[09:30:56 INF] Usage: Total CPU 5.84% | App CPU 0.00% | App Heap 5.26MB
[09:30:57 INF] Usage: Total CPU 5.45% | App CPU 0.00% | App Heap 5.27MB
[09:30:58 INF] Usage: Total CPU 1.16% | App CPU 0.00% | App Heap 5.26MB
[09:30:59 INF] Usage: Total CPU 2.33% | App CPU 0.00% | App Heap 5.26MB
[09:31:00 INF] Usage: Total CPU 2.92% | App CPU 1.03% | App Heap 5.26MB
[09:31:01 INF] Usage: Total CPU 0.09% | App CPU 0.00% | App Heap 5.27MB
[09:31:02 INF] Usage: Total CPU 2.68% | App CPU 0.00% | App Heap 5.26MB
[09:31:03 INF] Usage: Total CPU 0.00% | App CPU 0.00% | App Heap 5.26MB
[09:31:04 INF] Usage: Total CPU 2.76% | App CPU 0.00% | App Heap 5.26MB
[09:31:05 INF] Usage: Total CPU 1.65% | App CPU 1.56% | App Heap 5.26MB
[09:31:06 INF] Usage: Total CPU 3.54% | App CPU 0.00% | App Heap 5.26MB
[09:31:07 INF] Usage: Total CPU 0.41% | App CPU 0.00% | App Heap 5.27MB
[09:31:08 INF] Usage: Total CPU 1.72% | App CPU 0.00% | App Heap 5.27MB
[09:31:09 INF] Usage: Total CPU 1.77% | App CPU 0.00% | App Heap 5.26MB
[09:31:10 INF] Usage: Total CPU 2.09% | App CPU 0.00% | App Heap 5.26MB
[09:31:11 INF] Usage: Total CPU 0.32% | App CPU 0.00% | App Heap 5.26MB
[09:31:12 INF] Usage: Total CPU 0.00% | App CPU 0.00% | App Heap 5.26MB
[09:31:13 INF] Usage: Total CPU 1.89% | App CPU 0.00% | App Heap 5.26MB
[09:31:14 INF] Usage: Total CPU 1.44% | App CPU 0.00% | App Heap 5.26MB
[09:31:15 INF] Usage: Total CPU 2.72% | App CPU 0.00% | App Heap 5.27MB
[09:31:16 INF] Usage: Total CPU 2.60% | App CPU 0.00% | App Heap 5.26MB
[09:31:17 INF] Usage: Total CPU 3.33% | App CPU 1.03% | App Heap 5.26MB
[09:31:18 INF] Usage: Total CPU 0.55% | App CPU 0.00% | App Heap 5.26MB
