[09:43:30 INF] Usage: Total CPU 0.00% | App CPU 0.00% | App Heap 3.90MB
[09:58:59 INF] Usage: Total CPU 4.76% | App CPU 0.00% | App Heap 6.60MB
[09:59:00 INF] Usage: Total CPU 6.07% | App CPU 1.09% | App Heap 6.59MB
[09:59:01 INF] Usage: Total CPU 3.70% | App CPU 1.22% | App Heap 6.60MB
[09:59:02 INF] Usage: Total CPU 2.30% | App CPU 0.00% | App Heap 6.59MB
[09:59:03 INF] Usage: Total CPU 3.66% | App CPU 0.00% | App Heap 6.60MB
[09:59:04 INF] Usage: Total CPU 1.75% | App CPU 1.53% | App Heap 6.59MB
[09:59:05 INF] Usage: Total CPU 3.59% | App CPU 0.00% | App Heap 6.59MB
[09:59:06 INF] Usage: Total CPU 7.39% | App CPU 0.64% | App Heap 6.82MB
[09:59:07 INF] Usage: Total CPU 2.97% | App CPU 0.00% | App Heap 6.88MB
[09:59:08 INF] Usage: Total CPU 2.46% | App CPU 0.00% | App Heap 6.89MB
[09:59:09 INF] Usage: Total CPU 3.79% | App CPU 0.06% | App Heap 6.88MB
[09:59:10 INF] Usage: Total CPU 3.35% | App CPU 0.00% | App Heap 6.89MB
[09:59:11 INF] Usage: Total CPU 2.21% | App CPU 0.00% | App Heap 6.89MB
[09:59:12 INF] Usage: Total CPU 3.13% | App CPU 0.00% | App Heap 6.86MB
[09:59:13 INF] Usage: Total CPU 4.17% | App CPU 0.00% | App Heap 6.87MB
[09:59:14 INF] Usage: Total CPU 5.75% | App CPU 0.00% | App Heap 6.93MB
[09:59:15 INF] Usage: Total CPU 3.16% | App CPU 0.00% | App Heap 6.93MB
[09:59:16 INF] Usage: Total CPU 4.15% | App CPU 1.41% | App Heap 6.93MB
[09:59:17 INF] Usage: Total CPU 1.72% | App CPU 0.06% | App Heap 6.93MB
[09:59:18 INF] Usage: Total CPU 5.59% | App CPU 0.00% | App Heap 6.93MB
[09:59:19 INF] Usage: Total CPU 2.30% | App CPU 0.00% | App Heap 6.93MB
[09:59:20 INF] Usage: Total CPU 0.00% | App CPU 0.00% | App Heap 6.93MB
[09:59:21 INF] Usage: Total CPU 3.35% | App CPU 0.13% | App Heap 6.94MB
[09:59:22 INF] Usage: Total CPU 2.66% | App CPU 0.00% | App Heap 6.84MB
[09:59:23 INF] Usage: Total CPU 3.93% | App CPU 0.00% | App Heap 6.84MB
[09:59:24 INF] Usage: Total CPU 0.78% | App CPU 0.00% | App Heap 6.85MB
[09:59:25 INF] Usage: Total CPU 2.75% | App CPU 0.00% | App Heap 6.84MB
[09:59:26 INF] Usage: Total CPU 3.08% | App CPU 0.00% | App Heap 6.66MB
[09:59:27 INF] Usage: Total CPU 1.27% | App CPU 0.00% | App Heap 6.55MB
[09:59:28 INF] Usage: Total CPU 0.93% | App CPU 0.00% | App Heap 6.54MB
[09:59:29 INF] Usage: Total CPU 0.62% | App CPU 0.00% | App Heap 6.55MB
[09:59:30 INF] Usage: Total CPU 2.25% | App CPU 1.09% | App Heap 6.54MB
[09:59:31 INF] Usage: Total CPU 0.84% | App CPU 0.00% | App Heap 6.55MB
[09:59:32 INF] Usage: Total CPU 0.49% | App CPU 0.00% | App Heap 6.54MB
[09:59:33 INF] Usage: Total CPU 1.15% | App CPU 0.06% | App Heap 6.54MB
[09:59:34 INF] Usage: Total CPU 1.45% | App CPU 0.00% | App Heap 6.55MB
[09:59:35 INF] Usage: Total CPU 1.12% | App CPU 0.00% | App Heap 6.54MB
[09:59:36 INF] Usage: Total CPU 1.41% | App CPU 0.00% | App Heap 6.55MB
[09:59:37 INF] Usage: Total CPU 1.53% | App CPU 0.00% | App Heap 6.47MB
[09:59:38 INF] Usage: Total CPU 1.20% | App CPU 0.00% | App Heap 6.47MB
[09:59:39 INF] Usage: Total CPU 2.42% | App CPU 0.00% | App Heap 6.47MB
[09:59:40 INF] Usage: Total CPU 2.18% | App CPU 0.97% | App Heap 6.47MB
[09:59:41 INF] Usage: Total CPU 1.28% | App CPU 0.00% | App Heap 6.47MB
[09:59:42 INF] Usage: Total CPU 1.13% | App CPU 0.00% | App Heap 6.47MB
[09:59:43 INF] Usage: Total CPU 0.62% | App CPU 0.06% | App Heap 6.46MB
[09:59:44 INF] Usage: Total CPU 0.80% | App CPU 0.00% | App Heap 6.46MB
[09:59:45 INF] Usage: Total CPU 1.41% | App CPU 0.00% | App Heap 6.41MB
[09:59:46 INF] Usage: Total CPU 1.84% | App CPU 0.00% | App Heap 6.41MB
[09:59:47 INF] Usage: Total CPU 1.49% | App CPU 0.00% | App Heap 6.41MB
[09:59:48 INF] Usage: Total CPU 2.64% | App CPU 1.60% | App Heap 6.41MB
[09:59:49 INF] Usage: Total CPU 8.32% | App CPU 1.56% | App Heap 6.40MB
[09:59:50 INF] Usage: Total CPU 6.16% | App CPU 0.00% | App Heap 6.41MB
[09:59:51 INF] Usage: Total CPU 2.03% | App CPU 1.41% | App Heap 6.41MB
[09:59:52 INF] Usage: Total CPU 1.36% | App CPU 1.34% | App Heap 6.41MB
[09:59:53 INF] Usage: Total CPU 1.04% | App CPU 0.00% | App Heap 6.41MB
[09:59:54 INF] Usage: Total CPU 2.97% | App CPU 0.00% | App Heap 6.41MB
[09:59:56 INF] Usage: Total CPU 5.14% | App CPU 0.00% | App Heap 6.40MB
[09:59:57 INF] Usage: Total CPU 2.50% | App CPU 0.00% | App Heap 6.41MB
[09:59:58 INF] Usage: Total CPU 0.54% | App CPU 0.06% | App Heap 6.40MB
[09:59:59 INF] Usage: Total CPU 0.67% | App CPU 0.00% | App Heap 6.41MB
[10:00:00 INF] Usage: Total CPU 1.21% | App CPU 0.00% | App Heap 6.40MB
[10:00:01 INF] Usage: Total CPU 0.75% | App CPU 0.00% | App Heap 6.41MB
[10:00:02 INF] Usage: Total CPU 2.44% | App CPU 0.00% | App Heap 6.41MB
[10:00:03 INF] Usage: Total CPU 0.68% | App CPU 0.00% | App Heap 6.41MB
[10:00:04 INF] Usage: Total CPU 1.61% | App CPU 0.00% | App Heap 6.47MB
[10:00:05 INF] Usage: Total CPU 0.56% | App CPU 0.06% | App Heap 6.47MB
[10:00:06 INF] Usage: Total CPU 0.93% | App CPU 0.00% | App Heap 6.47MB
[10:00:07 INF] Usage: Total CPU 1.36% | App CPU 0.00% | App Heap 6.46MB
[10:00:08 INF] Usage: Total CPU 0.84% | App CPU 0.00% | App Heap 6.43MB
[10:00:09 INF] Usage: Total CPU 1.27% | App CPU 0.00% | App Heap 6.44MB
[10:00:10 INF] Usage: Total CPU 0.90% | App CPU 0.00% | App Heap 6.44MB
[10:00:11 INF] Usage: Total CPU 0.00% | App CPU 0.00% | App Heap 6.43MB
[10:00:12 INF] Usage: Total CPU 2.25% | App CPU 0.00% | App Heap 6.44MB
[10:00:13 INF] Usage: Total CPU 2.74% | App CPU 1.54% | App Heap 6.44MB
[10:00:14 INF] Usage: Total CPU 2.76% | App CPU 1.60% | App Heap 6.43MB
[10:00:15 INF] Usage: Total CPU 4.36% | App CPU 1.54% | App Heap 6.43MB
[10:00:16 INF] Usage: Total CPU 7.13% | App CPU 1.54% | App Heap 6.43MB
[10:00:17 INF] Usage: Total CPU 2.23% | App CPU 1.47% | App Heap 6.44MB
[10:00:18 INF] Usage: Total CPU 1.35% | App CPU 0.00% | App Heap 6.43MB
[10:00:19 INF] Usage: Total CPU 0.90% | App CPU 0.00% | App Heap 6.43MB
[10:00:20 INF] Usage: Total CPU 0.89% | App CPU 0.00% | App Heap 6.43MB
[10:00:21 INF] Usage: Total CPU 1.13% | App CPU 0.00% | App Heap 6.43MB
[10:00:22 INF] Usage: Total CPU 0.53% | App CPU 0.00% | App Heap 6.43MB
[10:00:23 INF] Usage: Total CPU 0.83% | App CPU 0.00% | App Heap 6.43MB
[10:00:24 INF] Usage: Total CPU 0.94% | App CPU 0.00% | App Heap 6.43MB
[10:00:25 INF] Usage: Total CPU 1.20% | App CPU 0.00% | App Heap 6.43MB
[10:00:26 INF] Usage: Total CPU 0.99% | App CPU 0.00% | App Heap 6.43MB
[10:00:27 INF] Usage: Total CPU 2.50% | App CPU 0.00% | App Heap 6.42MB
[10:00:28 INF] Usage: Total CPU 1.94% | App CPU 0.00% | App Heap 6.43MB
[10:00:29 INF] Usage: Total CPU 1.53% | App CPU 0.00% | App Heap 6.43MB
[10:00:30 INF] Usage: Total CPU 1.01% | App CPU 0.00% | App Heap 6.43MB
[10:00:31 INF] Usage: Total CPU 0.31% | App CPU 0.00% | App Heap 6.43MB
[10:00:32 INF] Usage: Total CPU 2.55% | App CPU 0.00% | App Heap 6.42MB
[10:00:33 INF] Usage: Total CPU 3.24% | App CPU 1.47% | App Heap 6.43MB
[10:00:34 INF] Usage: Total CPU 3.32% | App CPU 1.60% | App Heap 6.42MB
[10:00:35 INF] Usage: Total CPU 0.82% | App CPU 0.00% | App Heap 6.43MB
[10:00:36 INF] Usage: Total CPU 1.14% | App CPU 0.00% | App Heap 6.43MB
[10:00:37 INF] Usage: Total CPU 1.60% | App CPU 0.26% | App Heap 6.43MB
[10:00:38 INF] Usage: Total CPU 0.67% | App CPU 0.00% | App Heap 6.43MB
[10:00:39 INF] Usage: Total CPU 2.16% | App CPU 0.00% | App Heap 6.42MB
[10:00:40 INF] Usage: Total CPU 1.28% | App CPU 1.55% | App Heap 6.43MB
[10:00:41 INF] Usage: Total CPU 1.32% | App CPU 0.00% | App Heap 6.42MB
[10:00:42 INF] Usage: Total CPU 1.39% | App CPU 0.00% | App Heap 6.37MB
[10:00:43 INF] Usage: Total CPU 0.71% | App CPU 0.00% | App Heap 6.37MB
[10:00:44 INF] Usage: Total CPU 1.20% | App CPU 0.00% | App Heap 6.36MB
[10:00:45 INF] Usage: Total CPU 1.51% | App CPU 0.00% | App Heap 6.37MB
[10:00:46 INF] Usage: Total CPU 0.41% | App CPU 0.06% | App Heap 6.36MB
[10:00:47 INF] Usage: Total CPU 3.25% | App CPU 0.00% | App Heap 6.37MB
[10:00:48 INF] Usage: Total CPU 1.39% | App CPU 0.00% | App Heap 6.37MB
[10:00:49 INF] Usage: Total CPU 0.90% | App CPU 0.00% | App Heap 6.37MB
[10:00:50 INF] Usage: Total CPU 1.30% | App CPU 0.00% | App Heap 6.37MB
[10:00:51 INF] Usage: Total CPU 0.00% | App CPU 0.00% | App Heap 6.37MB
[10:00:52 INF] Usage: Total CPU 2.18% | App CPU 0.06% | App Heap 6.37MB
[10:00:53 INF] Usage: Total CPU 1.43% | App CPU 0.00% | App Heap 6.37MB
[10:00:54 INF] Usage: Total CPU 2.90% | App CPU 1.54% | App Heap 6.37MB
[10:00:55 INF] Usage: Total CPU 5.81% | App CPU 0.00% | App Heap 6.37MB
[10:00:56 INF] Usage: Total CPU 3.10% | App CPU 0.00% | App Heap 6.37MB
[10:00:57 INF] Usage: Total CPU 0.97% | App CPU 1.28% | App Heap 6.37MB
[10:00:58 INF] Usage: Total CPU 1.24% | App CPU 0.00% | App Heap 6.37MB
[10:00:59 INF] Usage: Total CPU 0.79% | App CPU 0.00% | App Heap 6.37MB
[10:01:00 INF] Usage: Total CPU 0.96% | App CPU 0.00% | App Heap 6.37MB
[10:01:01 INF] Usage: Total CPU 1.26% | App CPU 0.00% | App Heap 6.37MB
[10:01:02 INF] Usage: Total CPU 1.07% | App CPU 0.00% | App Heap 6.37MB
[10:01:03 INF] Usage: Total CPU 1.64% | App CPU 0.00% | App Heap 6.37MB
[10:01:05 INF] Usage: Total CPU 0.73% | App CPU 0.00% | App Heap 6.37MB
[10:01:06 INF] Usage: Total CPU 1.44% | App CPU 0.00% | App Heap 6.37MB
[10:01:07 INF] Usage: Total CPU 0.57% | App CPU 0.00% | App Heap 6.37MB
[10:01:08 INF] Usage: Total CPU 1.41% | App CPU 0.00% | App Heap 6.36MB
[10:01:09 INF] Usage: Total CPU 0.56% | App CPU 0.00% | App Heap 6.36MB
[10:01:10 INF] Usage: Total CPU 0.00% | App CPU 0.00% | App Heap 6.37MB
[10:01:11 INF] Usage: Total CPU 2.03% | App CPU 0.00% | App Heap 6.37MB
[10:01:12 INF] Usage: Total CPU 1.45% | App CPU 1.47% | App Heap 6.37MB
[10:01:13 INF] Usage: Total CPU 2.56% | App CPU 0.00% | App Heap 6.37MB
[10:01:14 INF] Usage: Total CPU 1.55% | App CPU 1.28% | App Heap 6.36MB
[10:01:15 INF] Usage: Total CPU 2.09% | App CPU 0.00% | App Heap 6.37MB
[10:01:16 INF] Usage: Total CPU 2.20% | App CPU 1.28% | App Heap 6.36MB
[10:01:17 INF] Usage: Total CPU 1.29% | App CPU 1.53% | App Heap 6.36MB
[10:01:18 INF] Usage: Total CPU 1.43% | App CPU 0.00% | App Heap 6.43MB
[10:01:19 INF] Usage: Total CPU 1.09% | App CPU 0.00% | App Heap 6.43MB
[10:01:20 INF] Usage: Total CPU 1.22% | App CPU 0.00% | App Heap 6.43MB
[10:01:21 INF] Usage: Total CPU 0.86% | App CPU 0.07% | App Heap 6.43MB
[10:01:22 INF] Usage: Total CPU 1.47% | App CPU 0.00% | App Heap 6.43MB
[10:01:23 INF] Usage: Total CPU 0.77% | App CPU 0.00% | App Heap 6.43MB
[10:01:24 INF] Usage: Total CPU 1.22% | App CPU 0.00% | App Heap 6.43MB
[10:01:25 INF] Usage: Total CPU 1.72% | App CPU 0.00% | App Heap 6.43MB
[10:01:26 INF] Usage: Total CPU 1.43% | App CPU 0.00% | App Heap 6.43MB
[10:01:27 INF] Usage: Total CPU 0.44% | App CPU 0.00% | App Heap 6.43MB
[10:01:28 INF] Usage: Total CPU 1.21% | App CPU 0.00% | App Heap 6.43MB
[10:01:29 INF] Usage: Total CPU 0.00% | App CPU 0.00% | App Heap 6.43MB
[10:01:30 INF] Usage: Total CPU 0.23% | App CPU 0.00% | App Heap 6.43MB
[10:01:31 INF] Usage: Total CPU 2.40% | App CPU 0.20% | App Heap 6.43MB
[10:01:32 INF] Usage: Total CPU 0.73% | App CPU 0.00% | App Heap 6.43MB
[10:01:33 INF] Usage: Total CPU 0.50% | App CPU 0.00% | App Heap 6.43MB
[10:01:34 INF] Usage: Total CPU 1.32% | App CPU 0.00% | App Heap 6.43MB
[10:01:35 INF] Usage: Total CPU 0.11% | App CPU 0.00% | App Heap 6.42MB
[10:01:36 INF] Usage: Total CPU 1.46% | App CPU 0.00% | App Heap 6.43MB
[10:01:37 INF] Usage: Total CPU 2.56% | App CPU 1.60% | App Heap 6.37MB
[10:01:38 INF] Usage: Total CPU 0.00% | App CPU 0.00% | App Heap 6.37MB
[10:01:39 INF] Usage: Total CPU 1.24% | App CPU 0.00% | App Heap 6.37MB
[10:01:40 INF] Usage: Total CPU 2.36% | App CPU 0.00% | App Heap 6.37MB
[10:01:41 INF] Usage: Total CPU 1.11% | App CPU 1.54% | App Heap 6.37MB
[10:01:42 INF] Usage: Total CPU 3.42% | App CPU 0.00% | App Heap 6.37MB
[10:01:43 INF] Usage: Total CPU 0.99% | App CPU 1.54% | App Heap 6.37MB
[10:01:44 INF] Usage: Total CPU 1.36% | App CPU 0.00% | App Heap 6.37MB
[10:01:45 INF] Usage: Total CPU 1.00% | App CPU 0.00% | App Heap 6.37MB
[10:01:46 INF] Usage: Total CPU 1.36% | App CPU 0.00% | App Heap 6.36MB
[10:01:47 INF] Usage: Total CPU 1.19% | App CPU 0.00% | App Heap 6.37MB
[10:01:48 INF] Usage: Total CPU 1.41% | App CPU 0.00% | App Heap 6.37MB
[10:01:49 INF] Usage: Total CPU 1.62% | App CPU 0.00% | App Heap 6.37MB
[10:01:50 INF] Usage: Total CPU 0.22% | App CPU 0.00% | App Heap 6.36MB
[10:01:51 INF] Usage: Total CPU 1.25% | App CPU 0.00% | App Heap 6.37MB
[10:01:52 INF] Usage: Total CPU 0.96% | App CPU 0.00% | App Heap 6.37MB
[10:01:53 INF] Usage: Total CPU 1.16% | App CPU 0.00% | App Heap 6.37MB
[10:01:54 INF] Usage: Total CPU 1.88% | App CPU 1.55% | App Heap 6.37MB
[10:01:55 INF] Usage: Total CPU 6.43% | App CPU 0.00% | App Heap 6.36MB
